Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2023-02-08	2022-11	iHeart Radio	EVE	Save Your Tears	SE4G42207001	197208717837	19	50	Song	US	0	0.12137462
2023-02-02	2022-11	Apple Music	laikd	Now That I Need You	QZPLS2217144	197273856141	2	100	Song	CA	0	0.01069829
2023-02-08	2022-11	Deezer	laikd	Useless	QZMEQ2166616	196400733881	1	50	Song	FR	0	0.00003905
2023-02-08	2022-11	Deezer	laikd	Useless	QZMEQ2166616	196400733881	1	50	Song	AU	0	0.00472254
2021-11-09	2021-09	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	2	100	Song	DE	0	0.01613300
2021-11-09	2021-09	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	JP	0	0.00152400
2021-11-09	2021-09	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	2	100	Song	BE	0	0.00423800
2021-11-09	2021-09	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	BR	0	0.00346000
2021-11-09	2021-09	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	FR	0	0.00448300
2021-11-09	2021-09	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	HN	0	0.00164000
2021-11-09	2021-09	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	2	100	Song	IT	0	0.00888900
2021-11-09	2021-09	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	0	100	Song	NL	0	0.00116300
2021-11-09	2021-09	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	4	100	Song	SE	0	0.01460500
2021-11-09	2021-09	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	TR	0	0.00028800
2021-11-09	2021-09	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	2	100	Song	US	0	0.00933100
2021-11-09	2021-09	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	UA	0	0.00014400
2021-11-09	2021-09	YouTube (Red)	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	PH	0	0.00183700
2021-11-24	2021-09	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	CA	0	0.00186000
2021-11-24	2021-09	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	NO	0	0.00658099
2021-11-24	2021-09	Spotify	laikd	Monster	QZMEQ2103063	196397144486	13	100	Song	TW	0	0.02517596
2021-11-24	2021-09	Spotify	laikd	Monster	QZMEQ2103063	196397144486	3730	100	Song	SE	0	12.78867322
2021-11-24	2021-09	Spotify	laikd	Monster	QZMEQ2103063	196397144486	8	100	Song	US	0	0.04311800
2021-11-28	2021-09	iTunes	laikd	Monster	QZMEQ2103063	196397144486	2	100	Song	SE	0	1.43667396
2021-11-24	2021-09	Spotify	laikd	Monster	QZMEQ2103063	196397144486	0	100	Song	CA	0	0.00025017
2021-11-24	2021-09	Spotify	laikd	Monster	QZMEQ2103063	196397144486	0	100	Song	NO	0	0.00088514
